rownumber,name,address,license desc,business desc,tract_block
93,PRATTFALL INC,6809-6813 N SHERIDAN RD 1ST,Tavern,Tavern - Consumption of Liquor on Premise,203013026
103,"SRJ ENTERPRISES, INC.",318 W ADAMS ST 1 1A,Package Goods,Retail Sales of Packaged Liquor,8370001001
104,FG TRADING INC.,4343 N CLARENDON AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,1505013018
235,BACCI PIZZA LITTLE ITALY INC.,1421 W TAYLOR ST 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8430002001
338,1700 DIVISION OPERATING LLC,1700 W DIVISION ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2507003005
353,FLYING PAN LLC,1509 E 53RD ST,Caterer's Liquor License,Catering of Liquor To Events,5705001020
471,"LACUNA ENTERTAINMENT, LLC",2150 S CANALPORT AVE 1 AND 5,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8407003019
514,PRATTFALL INC,6809-6813 N SHERIDAN RD 1ST,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",203013026
559,"Food For Thought Cafe at the Adler, Ltd.",1300 S LAKE SHORE DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8314002049
592,1700 DIVISION OPERATING LLC,1700 W DIVISION ST 1,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2507003005
779,"RYUU GROUP, LLC",2766 N MILWAUKEE AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1906011004
836,SHEDD AQUARIUM SOCIETY,1200 S LAKE SHORE DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8430002001
933,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8382002004
947,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8382002004
1032,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8382002004
1038,ELEVEN CITY DINER LLC,1112 S WABASH AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8430002001
1045,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1054,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1056,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1086,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8382002004
1102,"DAMENZO'S, INC.",2322-2324 W TAYLOR ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8430002001
1121,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1125,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1126,SAM'S CUT RATE FOOD & LIQ INC,500 E 75TH ST 1ST,Package Goods,Retail Sales of Packaged Liquor,6611005022
1204,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1318,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1324,CHECKERBOARD PRODUCTIONS INC,700 S WABASH AVE 1 & 2,Tavern,Tavern - Consumption of Liquor on Premise,8314002059
1372,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8382002004
1377,HP53 LLC,1460-1466 E 53RD ST,Caterer's Liquor License,Catering of Liquor To Events,5705001020
1394,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1426,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
1475,"DAMENZO'S, INC.",2322-2324 W TAYLOR ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8430002001
1531,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004053
2139,NIGHT BEFORE INC.,6412 N CLARK ST,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",208024001
7351,"GIRIRAJ, INC.",3214 N KIMBALL AVE 1 B,Package Goods,Retail Sales of Packaged Liquor,1708003014
7611,NIGHT BEFORE INC.,6412 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,208024001
7820,MARIE'S LIQUORS INC.,4127-4129 W LAWRENCE AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1404005035
8850,"SAMI BROTHERS, INC.",124 W 95TH ST,Package Goods,Retail Sales of Packaged Liquor,7302015014
9657,BLUE PLATE CATERING LTD.,333 N OGDEN AVE 1,Caterer's Liquor License,Catering of Liquor To Events,2804001010
10056,RED LOBSTER HOSPITALITY LLC,5201 S PULASKI RD 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,5705001020
10363,"LITTLE GEM HOSPITALITY GROUP, INC",621-623 W RANDOLPH ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2801001033
11320,"KHLOE MINI MART, INC.",5927 W GRAND AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,1913011037
12491,KEYSTONE WINE AND SPIRITS,1765 N ELSTON AVE  107 - 108,Package Goods,Retail Sales of Packaged Liquor,1911002014
13253,"SIDE BY SIDE, INC.",3345-3355 N HALSTED ST 1ST & 2ND,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1708002010
13258,I. S. FOOD & LIQUOR INC.,1025 W 63RD ST 1ST,Package Goods,Retail Sales of Packaged Liquor,8349002013
13290,"FOOD FOR THOUGHT CATERING PROFESSIONALS, LTD.",130 E RANDOLPH ST 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2801001033
13298,"CHICAGO FOOD PARTNERS, LLC",301 S COLUMBUS DR,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8370001001
13304,"DANTE'S PIZZERIA, INC.",2825 N MILWAUKEE AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1801002002
13346,"CARNITAS DON RAFA, INC.",4619 S KEDZIE AVE 1ST,Caterer's Liquor License,Catering of Liquor To Events,5701001009
13459,"TOP-LESS LIQUORS, INC.",916 S WESTERN AVE  1,Package Goods,Retail Sales of Packaged Liquor,2718001015
13467,"JDJG, INC.",35 E WACKER DR,Package Goods,Retail Sales of Packaged Liquor,8378001002
13508,AHMAD KESHTA,2300 W 21ST ST,Package Goods,Retail Sales of Packaged Liquor,8414001009
13533,"CARNITAS DON RAFA, INC.",4619 S KEDZIE AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,5701001009
13766,"BOONE'S OPPORTUNITY, INC.",200 N DEARBORN ST  1,Package Goods,Retail Sales of Packaged Liquor,8378001002
13806,FIELD MUSEUM OF NATURAL HISTORY,1400 S LAKE SHORE DR,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
13864,FIELD MUSEUM OF NATURAL HISTORY,1400 S LAKE SHORE DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
13873,LA RIPA OPERATIONS LLC,819 W ARMITAGE AVE 1ST & 2ND,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1911003009
13910,"UB-WP 60622, LLC",1480 N MILWAUKEE AVE  1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2504004013
13991,LA VILLITA RESTAURANT INC,3322-3324 W 26TH ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,3005002016
14039,BONNE VIE ENTERTAINMENT CORP.,2333 S MICHIGAN AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,3009002003
14051,LA RIPA OPERATIONS LLC,819 W ARMITAGE AVE 1ST & 2ND,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1911003009
14077,"LAWLOR'S ON 111TH STREET, INC.",3636 W 111TH ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,7403001019
14143,ROSETTE'S INC,70 W MADISON ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2819003001
14176,Fairmont Hotels & Resorts (U.S.) Inc.,200 N COLUMBUS DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
14197,Fairmont Hotels & Resorts (U.S.) Inc.,200 N COLUMBUS DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
14237,Fairmont Hotels & Resorts (U.S.) Inc.,200 N COLUMBUS DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
14804,Fairmont Hotels & Resorts (U.S.) Inc.,200 N COLUMBUS DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
15088,Fairmont Hotels & Resorts (U.S.) Inc.,200 N COLUMBUS DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
15156,BAR TAKITO LLC,952 W LAKE ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
15178,1732 N MILWAUKEE RESTAURANT LLC,1732 N MILWAUKEE AVE 1,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2502001012
15210,"HIGHLAND PARK CVS, L.L.C.",120 S LA SALLE ST 1ST,Package Goods,Retail Sales of Packaged Liquor,2519001015
15296,"MOVIE GRILL CONCEPTS XXVI, LLC",210 W 87TH ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,7115001001
15341,NF ILLINOIS LLC,1518 E HARPER CT 1,Outdoor Patio,Sale of Liquor Outdoors on Private Property,6303001010
15481,AMDB RESTAURANT INC,1800 N HALSTED ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2502001012
15579,Fairmont Hotels & Resorts (U.S.) Inc.,200 N COLUMBUS DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
15648,PETE'S FRESH MARKET MADISON CORPORATION,2333 W MADISON ST,Package Goods,Retail Sales of Packaged Liquor,2519001015
15657,"HIGHLAND PARK CVS, L.L.C.",120 S LA SALLE ST 1ST,Package Goods,Retail Sales of Packaged Liquor,2519001015
15845,"BEHIND THE SCENES CHICAGO, LLC",1746-1758 W LAKE ST 1,Caterer's Liquor License,Catering of Liquor To Events,8378001002
15883,"HIGHLAND PARK CVS, L.L.C.",120 S LA SALLE ST 1ST,Package Goods,Retail Sales of Packaged Liquor,2519001015
16019,"CHICAGO SENIOR CARE, LLC",55 E PEARSON ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8421005001
16137,"BOTTLES AND CANS, L.L.C.",4109 N LINCOLN AVE,Package Goods,Retail Sales of Packaged Liquor,1603001009
16149,BRE/SWISS LP,323 E WACKER DR,Caterer's Liquor License,Catering of Liquor To Events,816001011
16150,"SUNSTONE EAST GRAND LESSEE, INC.",10 E GRAND AVE 1-23,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2432002010
16189,"ANNAPURNA, INC.",1301 S MICHIGAN AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8314002049
16193,"BLM-CHICAGO, LLC",224-230 N MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
16245,"DINOSAUR RESTAURANTS, LLC",923 W WEED ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2504004013
16292,"ONE ELEVEN FOOD & LIQUORS, INC.",111 N KEDZIE AVE,Package Goods,Retail Sales of Packaged Liquor,2601001016
16305,GREEN GUITAR WINE & SPIRITS INC.,6816 N SHERIDAN RD 1ST,Package Goods,Retail Sales of Packaged Liquor,203013026
16309,BRE/SWISS LP,323 E WACKER DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,816001011
16335,"ANNAPURNA, INC.",899 S PLYMOUTH CT 1ST G2,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2718001015
16368,"JERRY'S SANDWICHES AV, LLC",5419 N CLARK ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1006004026
16381,CASDAN INC.,75 E WACKER DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,816001011
16432,"BLM-CHICAGO, LLC",224-230 N MICHIGAN AVE,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8378001002
16453,BRE/SWISS LP,323 E WACKER DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,816001011
16467,"SUNSTONE EAST GRAND LESSEE, INC.",10 E GRAND AVE 1-23,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2432002010
16471,"MSG CHICAGO, LLC",175 N STATE ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
16497,"SUNSTONE EAST GRAND LESSEE, INC.",10 E GRAND AVE 1-23,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2432002010
16504,"BLM-CHICAGO, LLC",224-230 N MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
