Zip,Year,month,MeanTemperature,MaxTemperature,MinTemperature
60601,2010,1,46,39,34
60601,2010,2,42,35,33
60601,2010,3,77,64,51
60601,2010,4,83,72,62
60601,2010,5,91,81,70
60601,2010,6,90,79,72
60601,2010,7,94,85,78
60601,2010,8,94,84,75
60601,2010,9,89,78,71
60601,2010,10,86,71,57
60601,2010,11,69,57,48
60601,2010,12,53,47,41
60601,2011,1,41,30,26
60601,2011,2,56,52,47
60601,2011,3,67,58,48
60601,2011,4,83,70,56
60601,2011,5,90,77,69
60601,2011,6,96,86,75
60601,2011,7,99,87,80
60601,2011,8,93,84,74
60601,2011,9,93,84,76
60601,2011,10,84,69,57
60601,2011,11,70,59,51
60601,2011,12,57,48,41
60601,2012,1,57,50,43
60601,2012,2,59,47,35
60601,2012,3,87,74,63
60601,2012,4,77,69,61
60601,2012,5,97,86,77
60601,2012,6,100,88,78
60601,2012,7,103,93,82
60601,2012,8,95,83,72
60601,2012,9,90,80,73
60601,2012,10,78,68,59
60601,2012,11,70,58,50
60601,2012,12,70,58,46
60601,2013,1,63,51,39
60601,2013,2,52,40,33
60601,2013,3,59,48,39
60601,2013,4,85,73,61
60601,2013,5,91,77,65
60601,2013,6,90,78,69
60601,2013,7,96,86,77
60601,2013,8,96,87,77
60601,2013,9,95,86,77
60601,2013,10,80,71,65
60601,2013,11,69,56,50
60601,2013,12,56,48,39
60601,2014,1,45,36,31
60601,2014,2,49,42,34
60601,2014,3,68,55,41
60601,2014,4,80,66,58
60601,2014,5,89,75,64
60601,2014,6,91,84,77
60601,2014,7,90,80,71
60601,2014,8,88,80,72
60601,2014,9,88,78,71
60601,2014,10,77,68,63
60601,2014,11,62,53,48
60601,2014,12,50,48,45
60601,2015,1,43,36,29
60601,2015,2,41,32,25
60601,2015,3,73,58,42
60601,2015,4,78,62,50
60601,2015,5,83,74,66
60601,2015,6,92,80,68
60601,2015,7,92,82,73
60601,2015,8,92,80,71
60601,2015,9,92,82,76
60601,2015,10,79,66,57
60601,2015,11,72,65,59
60601,2015,12,61,55,48
60601,2016,1,48,41,36
60601,2016,2,62,52,41
60601,2016,3,70,64,58
60601,2016,4,83,71,58
60601,2016,5,87,75,66
60601,2016,6,93,82,72
60601,2016,7,93,82,74
60601,2016,8,92,83,74
60601,2016,9,91,83,75
60601,2016,10,82,75,67
60601,2016,11,75,68,61
60601,2016,12,54,41,35
60601,2017,1,59,50,40
60601,2017,2,70,59,50
60601,2017,3,82,62,52
60601,2017,4,82,72,61
60601,2017,5,87,74,62
60601,2017,6,95,84,73
60601,2017,7,93,81,75
60601,2017,8,90,79,72
60601,2017,9,95,84,72
60601,2017,10,83,73,67
60601,2017,11,63,52,44
60601,2017,12,65,55,44
60602,2010,1,46,39,34
60602,2010,2,42,35,33
60602,2010,3,77,64,51
60602,2010,4,83,72,62
60602,2010,5,91,81,70
60602,2010,6,90,79,72
60602,2010,7,94,85,78
60602,2010,8,94,84,75
60602,2010,9,89,78,71
60602,2010,10,86,71,57
60602,2010,11,69,57,48
60602,2010,12,53,47,41
60602,2011,1,41,30,26
60602,2011,2,56,52,47
60602,2011,3,67,58,48
60602,2011,4,83,70,56
60602,2011,5,90,77,69
60602,2011,6,96,86,75
60602,2011,7,99,87,80
60602,2011,8,93,84,74
60602,2011,9,93,84,76
60602,2011,10,84,69,57
60602,2011,11,70,59,51
60602,2011,12,57,48,41
60602,2012,1,57,50,43
60602,2012,2,59,47,35
60602,2012,3,87,74,63
60602,2012,4,77,69,61
60602,2012,5,97,86,77
60602,2012,6,100,88,78
60602,2012,7,103,93,82
60602,2012,8,95,83,72
60602,2012,9,90,80,73
60602,2012,10,78,68,59
60602,2012,11,70,58,50
60602,2012,12,70,58,46
60602,2013,1,63,51,39
60602,2013,2,52,40,33
60602,2013,3,59,48,39
60602,2013,4,85,73,61
60602,2013,5,91,77,65
60602,2013,6,90,78,69
60602,2013,7,96,86,77
60602,2013,8,96,87,77
60602,2013,9,95,86,77
60602,2013,10,80,71,65
60602,2013,11,69,56,50
60602,2013,12,56,48,39
60602,2014,1,45,36,31
60602,2014,2,49,42,34
60602,2014,3,68,55,41
60602,2014,4,80,66,58
60602,2014,5,89,75,64
60602,2014,6,91,84,77
60602,2014,7,90,80,71
60602,2014,8,88,80,72
60602,2014,9,88,78,71
60602,2014,10,77,68,63
60602,2014,11,62,53,48
60602,2014,12,50,48,45
60602,2015,1,43,36,29
60602,2015,2,41,32,25
60602,2015,3,73,58,42
60602,2015,4,78,62,50
60602,2015,5,83,74,66
60602,2015,6,92,80,68
60602,2015,7,92,82,73
60602,2015,8,92,80,71
60602,2015,9,92,82,76
60602,2015,10,79,66,57
60602,2015,11,72,65,59
60602,2015,12,61,55,48
60602,2016,1,48,41,36
60602,2016,2,62,52,41
60602,2016,3,70,64,58
60602,2016,4,83,71,58
60602,2016,5,87,75,66
60602,2016,6,93,82,72
60602,2016,7,93,82,74
60602,2016,8,92,83,74
60602,2016,9,91,83,75
