rownumber,id,name,address,license desc,business desc,lat,lon,the_geom,state,county,tract,block,geoid,name,tract_block
112,12305-20161016,PRATTFALL INC,6809-6813 N SHERIDAN RD 1ST,Tavern,Tavern - Consumption of Liquor on Premise,42.005871901999996,-87.660852028,"MULTIPOLYGON (((-87.68219799976906 41.88577399941285, -87.68251100050459 41.88576900044837, -87.68282400000645 41.88576399972331, -87.68346300047041 41.88575400086368, -87.6836119995589 41.885751000401136, -87.68410199955699 41.885744000240685, -87.68410199984447 41.88592700077006, -87.68410199980286 41.886004000596564, -87.68411500006148 41.88647599928527, -87.68412100015375 41.88665999977577, -87.68387800061335 41.8866630005227, -87.6831510004818 41.88667500012309, -87.68290899918816 41.8866790002476, -87.68266300059624 41.88668200034402, -87.68259800014862 41.886683999928316, -87.68228799989244 41.88668900082764, -87.68198399989187 41.886693999809815, -87.68192600078038 41.88669399945338, -87.68168099920169 41.886697999778164, -87.68167500076498 41.886514999458804, -87.68165800081609 41.88596600051154, -87.68165300010752 41.88578300042789, -87.68192599963626 41.885777999337684, -87.68214200034355 41.88577399970086, -87.68219799976906 41.88577399941285)))",17,31,837800,1002,170000000000000.0,Block 1002,8378001002
124,1742022-20160916,"SRJ ENTERPRISES, INC.",318 W ADAMS ST 1 1A,Package Goods,Retail Sales of Packaged Liquor,41.879472797,-87.635807481,"MULTIPOLYGON (((-87.66707699941492 41.91408100037068, -87.66705000018197 41.91404400016479, -87.66697300004236 41.913876999305714, -87.66613300008126 41.91248499997745, -87.66552399962072 41.911500999982415, -87.6651439998179 41.910921999723264, -87.66497700038325 41.91066799999429, -87.66504499965349 41.91066700024511, -87.66508399919063 41.9106670003289, -87.66519200041579 41.910664999820455, -87.6653569998396 41.910919000208246, -87.66552100013736 41.91117299994095, -87.66554600012986 41.9112129996195, -87.66631900002004 41.91242600025227, -87.66642899992914 41.912579999726944, -87.66655700043599 41.91280599995676, -87.6665930002913 41.91286699968609, -87.66692499946788 41.91342899988477, -87.6670209995539 41.91366099915378, -87.66705799928066 41.9138290004519, -87.66707400011835 41.91403999967887, -87.66707699941492 41.91408100037068)))",17,31,842300,1045,170000000000000.0,Block 1045,8423001045
125,2298418-20160916,FG TRADING INC.,4343 N CLARENDON AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,41.961667137,-87.64976057,"MULTIPOLYGON (((-87.64877299959453 41.89196500019218, -87.64885099976377 41.892020999850345, -87.64909599926274 41.89217699950108, -87.6491779998082 41.89222899915731, -87.64910100043298 41.89222899956236, -87.648871000213 41.89222999948943, -87.64879499993503 41.892230999618434, -87.64879600067357 41.892176999655874, -87.64879899999674 41.89211299983782, -87.64878199980578 41.89201699979895, -87.64877299959453 41.89196500019218)))",17,31,243500,2031,170000000000000.0,Block 2031,2435002031
273,2458262-20160831,BACCI PIZZA LITTLE ITALY INC.,1421 W TAYLOR ST 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.86921678,-87.662493891,"MULTIPOLYGON (((-87.74833000026582 41.89818099948516, -87.74833599933565 41.89841799949565, -87.74833699995293 41.89846800046389, -87.74834099940709 41.898654999809075, -87.74784999949138 41.898657000075545, -87.74741800016422 41.89865900038363, -87.74649500011073 41.89866400011433, -87.74648699951754 41.89853499996118, -87.74648799990145 41.898199999434446, -87.74698900047545 41.89819200036578, -87.74833000026582 41.89818099948516)))",17,31,251000,1015,170000000000000.0,Block 1015,2510001015
383,2147077-20160916,1700 DIVISION OPERATING LLC,1700 W DIVISION ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.903407374000004,-87.670465614,"MULTIPOLYGON (((-87.62142899995621 41.69625100052027, -87.62137800059836 41.694416999787286, -87.621732999879 41.69441200007375, -87.6219689998534 41.694410000146455, -87.62197900030304 41.69477599989235, -87.62201099950197 41.69587600026849, -87.62202200078518 41.69624300012108, -87.62177800037047 41.69624599953875, -87.62142899995621 41.69625100052027)))",17,31,490901,2030,170000000000000.0,Block 2030,4909012030
401,2458260-20160831,FLYING PAN LLC,1509 E 53RD ST,Caterer's Liquor License,Catering of Liquor To Events,41.799436696,-87.588731257,"MULTIPOLYGON (((-87.72437699970655 41.79273399984622, -87.72435200016415 41.79174500011849, -87.72434400083083 41.791383000186876, -87.72458699932184 41.791380000598984, -87.72495699961927 41.791376999675244, -87.7253190005243 41.79137400023986, -87.72556399986836 41.79137199956652, -87.72557400079515 41.79173400010856, -87.7256019997274 41.792718999877934, -87.72560499945399 41.79282200025079, -87.72561300051501 41.7930659993921, -87.72561200033857 41.79318499952966, -87.72536699993296 41.79318599999447, -87.72463300018157 41.79319199994397, -87.72438899969598 41.79319400031486, -87.72437900033972 41.79283099948265, -87.72437699970655 41.79273399984622)))",17,31,620300,1002,170000000000000.0,Block 1002,6203001002
526,2364371-20160831,"LACUNA ENTERTAINMENT, LLC",2150 S CANALPORT AVE 1 AND 5,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.853301464,-87.649929695,"MULTIPOLYGON (((-87.57358599929599 41.72434300003102, -87.57358899964423 41.724967999739185, -87.57361100039759 41.7256650000837, -87.57300099965518 41.72567200017897, -87.57297100069175 41.72470900025402, -87.57296100015093 41.724349999808666, -87.57320399957752 41.72434699949563, -87.57358599929599 41.72434300003102)))",17,31,480400,3026,170000000000000.0,Block 3026,4804003026
569,12306-20161016,PRATTFALL INC,6809-6813 N SHERIDAN RD 1ST,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",42.005871901999996,-87.660852028,"MULTIPOLYGON (((-87.80005299992405 41.97193199979913, -87.80004800069631 41.97215700036085, -87.80004499980018 41.97229300005263, -87.80004400041487 41.97238199925158, -87.80003200093373 41.97306100054016, -87.80002599996031 41.973378000125514, -87.80002100013397 41.97374000008433, -87.79977900044292 41.97374100040574, -87.79971800019484 41.97374199985548, -87.79941600043233 41.97374400077744, -87.79911400066668 41.973746000004525, -87.79905300031376 41.973745999735286, -87.79881199967637 41.97374799933174, -87.79881900077955 41.97334400030093, -87.79882799968932 41.972867999522904, -87.79883099985688 41.97284899944142, -87.79884999934319 41.97282899975546, -87.79888300007654 41.972821000010256, -87.79902899967814 41.972817999952824, -87.79907000060028 41.972809000208, -87.79907800055028 41.97234199980747, -87.79908499982064 41.97193900001684, -87.79927799969782 41.97193699983584, -87.79985899980747 41.97193299997072, -87.80005299992405 41.97193199979913)))",17,31,100700,4007,170000000000000.0,Block 4007,1007004007
615,1000895-20161016,"Food For Thought Cafe at the Adler, Ltd.",1300 S LAKE SHORE DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.865732312,-87.619668637,"MULTIPOLYGON (((-87.70136099995499 41.78081500078533, -87.70099499956757 41.78082100002151, -87.70075199987068 41.78082599986872, -87.70074399954039 41.78059700036974, -87.70073999999637 41.78046200038501, -87.70071599946499 41.779482000302835, -87.70131999956942 41.77947199939059, -87.70136099995499 41.78081500078533)))",17,31,660301,1012,170000000000000.0,Block 1012,6603011012
649,2147078-20160916,1700 DIVISION OPERATING LLC,1700 W DIVISION ST 1,Outdoor Patio,Sale of Liquor Outdoors on Private Property,41.903407374000004,-87.670465614,"MULTIPOLYGON (((-87.6031820004031 41.72204800009985, -87.60284399988817 41.722055000474285, -87.60222999947612 41.722073000495165, -87.60193999919032 41.722083000192264, -87.60118299953118 41.72210500032185, -87.59956900028746 41.7221310006768, -87.59937600066529 41.7221330003906, -87.59897500002656 41.72213799961851, -87.59899000021773 41.721982999654074, -87.59898100041977 41.7216470000556, -87.59898000021163 41.72155900016834, -87.59896700026987 41.72133599950733, -87.5989419994395 41.72036499937821, -87.59896199988735 41.7202919996034, -87.59893499976438 41.720226999906245, -87.59892500017372 41.71962399972441, -87.59889999957036 41.71884800028113, -87.59888699962309 41.718800999190876, -87.59877100010326 41.718802999329384, -87.59842599919844 41.718807999901365, -87.598311000117 41.718810999976284, -87.59830999918621 41.718788000061785, -87.59830700062096 41.71872000064987, -87.59830700015962 41.71869800023675, -87.59830599981458 41.718674000020414, -87.59830299997454 41.71860200027871, -87.59830300008687 41.71857900046406, -87.59854399990412 41.71857600035072, -87.59890800070815 41.71857199961428, -87.59926899946487 41.718566000445726, -87.59951100023521 41.718563000196355, -87.59949999985395 41.718584000281105, -87.59946599955742 41.71864999956471, -87.59945600082233 41.71867200004447, -87.59988800086545 41.718669999801214, -87.60108299922842 41.71866600002089, -87.6011870006339 41.718659000609016, -87.60146000064621 41.71864400012289, -87.6016189997913 41.71866300018451, -87.60209000017183 41.718655000471294, -87.60350299996674 41.718629999335676, -87.6039750004355 41.718623000352146, -87.60381799968965 41.71930799972052, -87.60378999903807 41.71943200024744, -87.60362199936361 41.72011699964324, -87.60349199972555 41.72066699992666, -87.60333600074614 41.72136099938161, -87.6031820004031 41.72204800009985)))",17,31,500100,3001,170000000000000.0,Block 3001,5001003001
