census_block,max_age,Primary_Type,year,crimes_no
101001,45-64,BATTERY,2015,2
101001,45-64,THEFT,2015,1
101002,5-17,BATTERY,2015,1
101002,5-17,CRIMINAL DAMAGE,2015,1
101002,5-17,NARCOTICS,2015,1
101002,5-17,OTHER OFFENSE,2015,1
101002,5-17,PROSTITUTION,2015,1
101003,25-44,ASSAULT,2015,3
101003,25-44,BURGLARY,2015,1
101003,25-44,NARCOTICS,2015,1
101003,25-44,OTHER OFFENSE,2015,3
101003,25-44,PUBLIC PEACE VIOLATION,2015,1
101003,25-44,THEFT,2015,1
102011,25-44,ASSAULT,2015,1
102011,25-44,BATTERY,2015,1
102011,25-44,BURGLARY,2015,1
102011,25-44,CRIMINAL DAMAGE,2015,1
102011,25-44,NARCOTICS,2015,1
102011,25-44,OTHER OFFENSE,2015,1
102011,25-44,THEFT,2015,1
102012,25-44,BATTERY,2015,4
102012,25-44,BURGLARY,2015,1
102012,25-44,CRIMINAL DAMAGE,2015,1
102012,25-44,CRIMINAL TRESPASS,2015,1
102012,25-44,DECEPTIVE PRACTICE,2015,3
102012,25-44,INTERFERENCE WITH PUBLIC OFFICER,2015,1
102012,25-44,MOTOR VEHICLE THEFT,2015,2
102012,25-44,OTHER OFFENSE,2015,1
102012,25-44,THEFT,2015,7
102013,25-44,BATTERY,2015,1
102013,25-44,CRIMINAL TRESPASS,2015,1
102013,25-44,OTHER OFFENSE,2015,1
102013,25-44,THEFT,2015,3
102021,45-64,ASSAULT,2015,2
102021,45-64,BATTERY,2015,1
102021,45-64,CRIMINAL DAMAGE,2015,2
102021,45-64,OTHER OFFENSE,2015,2
102022,25-44,ASSAULT,2015,1
102022,25-44,BATTERY,2015,1
102022,25-44,CRIMINAL TRESPASS,2015,1
102022,25-44,DECEPTIVE PRACTICE,2014,1
102022,25-44,DECEPTIVE PRACTICE,2015,1
102022,25-44,NARCOTICS,2015,1
102022,25-44,THEFT,2015,2
102022,25-44,WEAPONS VIOLATION,2015,1
103001,45-64,BATTERY,2015,2
103001,45-64,CRIMINAL DAMAGE,2015,1
103001,45-64,CRIMINAL TRESPASS,2015,1
103001,45-64,THEFT,2015,1
103002,25-44,BATTERY,2015,2
103002,25-44,BURGLARY,2015,1
103002,25-44,CRIMINAL DAMAGE,2015,1
103002,25-44,OTHER OFFENSE,2015,1
103003,45-64,BATTERY,2015,1
103003,45-64,CRIMINAL DAMAGE,2015,1
103003,45-64,PUBLIC PEACE VIOLATION,2015,1
103003,45-64,ROBBERY,2015,1
103004,25-44,CRIMINAL DAMAGE,2015,1
103004,25-44,ROBBERY,2015,1
103004,25-44,THEFT,2015,4
104001,25-44,ASSAULT,2015,1
104001,25-44,NARCOTICS,2015,1
104001,25-44,OTHER OFFENSE,2015,1
104002,25-44,BATTERY,2015,3
104002,25-44,CRIMINAL DAMAGE,2015,1
104002,25-44,OTHER OFFENSE,2015,1
104002,25-44,THEFT,2015,2
104003,18-24,ASSAULT,2015,1
104003,18-24,BATTERY,2015,3
104003,18-24,CRIMINAL DAMAGE,2015,1
104003,18-24,DECEPTIVE PRACTICE,2015,2
104003,18-24,PROSTITUTION,2015,2
104003,18-24,PUBLIC PEACE VIOLATION,2015,1
104003,18-24,THEFT,2015,1
104003,18-24,WEAPONS VIOLATION,2015,1
105011,25-44,CRIMINAL DAMAGE,2015,1
105011,25-44,MOTOR VEHICLE THEFT,2015,1
105012,25-44,ASSAULT,2015,1
105012,25-44,BURGLARY,2015,1
105012,25-44,NARCOTICS,2015,1
105012,25-44,ROBBERY,2015,1
105013,45-64,BATTERY,2015,1
105013,45-64,THEFT,2015,2
105021,18-24,ASSAULT,2015,1
105021,18-24,BATTERY,2015,1
105021,18-24,THEFT,2015,5
105022,18-24,ASSAULT,2015,2
105022,18-24,BATTERY,2015,1
105022,18-24,CRIMINAL DAMAGE,2015,1
105031,65+,BATTERY,2015,1
105031,65+,CRIMINAL DAMAGE,2015,3
105031,65+,DECEPTIVE PRACTICE,2015,1
105031,65+,ROBBERY,2015,1
105031,65+,THEFT,2015,1
105032,18-24,BATTERY,2015,2
105032,18-24,CRIMINAL DAMAGE,2015,1
105032,18-24,PUBLIC PEACE VIOLATION,2015,1
105032,18-24,THEFT,2015,1
105032,18-24,WEAPONS VIOLATION,2015,2
106001,25-44,ASSAULT,2015,1
106001,25-44,BATTERY,2015,2
106001,25-44,MOTOR VEHICLE THEFT,2015,1
106001,25-44,OTHER OFFENSE,2015,3
106001,25-44,ROBBERY,2015,1
106001,25-44,THEFT,2015,4
106001,25-44,THEFT,2018,1
106002,25-44,BATTERY,2015,1
106002,25-44,MOTOR VEHICLE THEFT,2015,1
106002,25-44,NARCOTICS,2015,1
106002,25-44,OTHER OFFENSE,2015,1
106002,25-44,THEFT,2018,1
106003,25-44,BATTERY,2015,2
106003,25-44,CRIMINAL DAMAGE,2015,1
106004,25-44,ASSAULT,2015,2
106004,25-44,BATTERY,2015,2
106004,25-44,BURGLARY,2015,1
106004,25-44,NARCOTICS,2015,2
107011,25-44,BATTERY,2015,2
107011,25-44,DECEPTIVE PRACTICE,2015,2
107011,25-44,NARCOTICS,2015,2
107011,25-44,OTHER OFFENSE,2014,1
107011,25-44,ROBBERY,2015,1
107011,25-44,THEFT,2015,1
107012,25-44,ASSAULT,2015,1
107012,25-44,BATTERY,2015,3
107012,25-44,CRIMINAL DAMAGE,2015,4
107012,25-44,CRIMINAL TRESPASS,2015,1
107012,25-44,DECEPTIVE PRACTICE,2015,2
107012,25-44,THEFT,2015,2
107021,25-44,ASSAULT,2015,1
107021,25-44,BATTERY,2015,2
107021,25-44,CRIMINAL DAMAGE,2015,2
107021,25-44,INTERFERENCE WITH PUBLIC OFFICER,2015,1
107021,25-44,NARCOTICS,2015,1
107021,25-44,THEFT,2015,1
107022,25-44,BATTERY,2015,1
107022,25-44,DECEPTIVE PRACTICE,2015,1
107022,25-44,MOTOR VEHICLE THEFT,2015,1
107022,25-44,NARCOTICS,2015,1
107022,25-44,ROBBERY,2015,1
107022,25-44,THEFT,2015,1
107023,25-44,CRIMINAL DAMAGE,2015,1
107023,25-44,NARCOTICS,2015,2
107023,25-44,ROBBERY,2015,1
107023,25-44,THEFT,2015,1
107024,25-44,BATTERY,2015,1
201001,25-44,ASSAULT,2015,1
201001,25-44,BATTERY,2015,3
201001,25-44,CRIMINAL TRESPASS,2018,1
