name,address,categories,Block,matched_address,matched_name,licence_description
Delmonico,111 w washington st ,"Restaurants, American (Traditional), METADATA",001xx w washington st,111 W WASHINGTON ST  L9,DELMONICO,Retail Food Establishment
Chipotle Mexican Grill,8 e madison st ,"Restaurants, Mexican, METADATA",0000xx e madison st,8 E MADISON ST,CHIPOTLE MEXICAN GRILL,Consumption on Premises - Incidental Activity
Chipotle Mexican Grill,8 e madison st ,"Restaurants, Mexican, METADATA",0000xx e madison st,8 E MADISON ST,CHIPOTLE MEXICAN GRILL,Retail Food Establishment
Au Bon Pain,125 s wacker dr ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx s wacker dr,125 S WACKER DR,AU BON PAIN,Retail Food Establishment
Au Bon Pain,125 s wacker dr ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx s wacker dr,125 S WACKER DR 1 & BSMT,AU BON PAIN,Retail Food Establishment
Au Bon Pain,125 s wacker dr ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx s wacker dr,125 S WACKER DR BASEMENT B LEVEL,Au Bon Pain,Retail Food Establishment
Tesori,65 e adams st ,"Restaurants, Italian, Mediterranean, METADATA",000xx e adams st,65 E ADAMS ST 1,TESORI,Consumption on Premises - Incidental Activity
Tesori,65 e adams st ,"Restaurants, Italian, Mediterranean, METADATA",000xx e adams st,65 E ADAMS ST 1,TESORI,Outdoor Patio
Tesori,65 e adams st ,"Restaurants, Italian, Mediterranean, METADATA",000xx e adams st,65 E ADAMS ST 1,TESORI,Retail Food Establishment
Hackney's Printers' Row,733 s dearborn st ,"Restaurants, Burgers, Nightlife, Bars, American (Traditional), METADATA",007xx s dearborn st,731 - 733 S DEARBORN ST,HACKNEY'S PRINTERS' ROW,Consumption on Premises - Incidental Activity
Hackney's Printers' Row,733 s dearborn st ,"Restaurants, Burgers, Nightlife, Bars, American (Traditional), METADATA",007xx s dearborn st,731 - 733 S DEARBORN ST,HACKNEY'S PRINTERS' ROW,Retail Food Establishment
Patty Burger,72 e adams st ,"Restaurants, Burgers, American (Traditional), METADATA",000xx e adams st,72 E ADAMS ST 1,PATTY BURGER,Retail Food Establishment
Custom House Tavern,500 s dearborn st ,"Restaurants, American (New), METADATA",005xx s dearborn st,500 S DEARBORN ST,Custom House,Caterer's Liquor License
Custom House Tavern,500 s dearborn st ,"Restaurants, American (New), METADATA",005xx s dearborn st,500 S DEARBORN ST,Custom House,Consumption on Premises - Incidental Activity
Custom House Tavern,500 s dearborn st ,"Restaurants, American (New), METADATA",005xx s dearborn st,500 S DEARBORN ST,Custom House,Retail Food Establishment
Au Bon Pain,181 w madison st ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx w madison st,181 W MADISON ST,AU BON PAIN,Retail Food Establishment
Au Bon Pain,181 w madison st ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx w madison st,181 W MADISON ST 1 1,AU BON PAIN,Retail Food Establishment
Spa Cafe,112 w monroe st ,"Food, Coffee & Tea, Restaurants, American (New), Gluten-Free, METADATA",001xx w monroe st,112 W MONROE ST,SPA CAFE,Retail Food Establishment
