Restaurant Name,Address,Failed inspection on,Alive for x years
A & R FOOD INC,1657 W 35TH ST ,2010-04-08,7.13
"AL KING MARKET, INC",5214 S DAMEN AVE ,2013-12-17,0.41
ALWARSI INC,5458 S WELLS ST ,2010-02-02,4.03
AM/PM,1221-1223 S Wabash AVE ,2010-09-08,2.74
AU BON PAIN,200 W ADAMS ST ,2014-07-25,6.81
AZTECA CHICAGO GRILL,1546 W 35TH ST ,2011-12-06,1.91
BABA PITA,1032 W LAKE ST ,2014-08-06,8.23
BIG MAMA'S INC.,5257 S ASHLAND AVE ,2010-02-09,3.86
"BIG RAYS GRILL, INC.",4653 S HALSTED ST ,2012-08-30,8.54
BUDDY GUY'S LEGENDS,700 S WABASH AVE ,2010-04-06,2.44
BURRITO BUGGY,206 W VAN BUREN ST ,2010-08-06,7.99
CARNICERIA Y FRUTERIA RIO BALSAS GROCERIES,1900 W 17TH ST ,2010-06-22,4.35
CATCHERS INN,901 W 35TH ST ,2010-02-04,3.90
CERMAK LIVE POULTRY,1823 W CERMAK RD ,2013-10-11,2.06
CHICAGO STEAKS,818-828 W EXCHANGE AVE ,2012-02-17,2.06
DAMEN FOOD MARKET,5214 S DAMEN AVE ,2013-05-29,0.47
"DAMEN FOOD MART, INC",5214 S DAMEN AVE ,2012-02-29,1.24
DAVE'S ICE CREAM,1451 W 18TH ST ,2010-05-28,7.84
DELTA FOOD,1158 W 51ST ST ,2013-02-19,3.10
DOUGLAS PARK GROCERIES,2744 W 18TH ST ,2015-09-01,1.34
DUNKIN DONUTS,166 W WASHINGTON ST ,2013-11-18,5.25
DUNKIN DONUTS,203 N LA SALLE ST ,2010-08-02,3.68
DUNKIN DONUTS,220 W WASHINGTON ST ,2013-06-26,4.85
DUNKIN DONUTS,3510 S ASHLAND AVE ,2011-04-08,7.19
DUNKIN DONUTS,6 N WABASH AVE ,2013-02-26,2.57
E & J FOOD & LIQUORS,5439 S DAMEN AVE ,2012-08-24,4.59
E & J FOOD & LIQUORS,5441 S DAMEN AVE ,2011-06-23,3.41
ECONOGAS,4244 S WENTWORTH AVE ,2011-05-06,3.53
EL CONDES..A.,1247 S WESTERN AVE ,2014-08-07,1.36
EL HUARACHE CHILANGO,1700 W CERMAK RD ,2010-05-04,2.30
EL MEZCAL,1454 W 18TH ST ,2011-09-14,5.51
EL PARAISO BAKERY,1156 W 18TH ST ,2010-06-25,2.20
EL POLLO REGIO,2007-2009 S DAMEN AVE ,2016-06-10,0.94
"EL TEQUIS RESTAURANT AND BAR, LTD.",1700 W CERMAK RD ,2010-05-04,4.21
GARFIELD FOOD,1614 W GARFIELD BLVD ,2011-02-07,3.07
GATEWAY NEWS STAND,312 S STATE ST ,2010-11-08,2.63
GATEWAY NEWSTAND,1 N LA SALLE ST ,2010-12-02,5.57
GATEWAY NEWSTAND,190 S LA SALLE ST ,2014-05-13,9.01
"GORDITAS TONALA, INC.",4248 S ASHLAND AVE ,2010-02-22,3.08
GRAND FOOD MART,400 E RANDOLPH ST ,2010-11-19,2.15
HALSTED FOODS,3418 S HALSTED ST ,2011-04-15,4.24
HALSTED STREET DELI,128 S FRANKLIN ST ,2014-07-17,3.84
HALSTED STREET DELI,222 N LA SALLE ST ,2014-03-13,3.49
