Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2001,Restaurant,The Green at Grant Park,352 e monroe st ,False,False,BATTERY,2278,706,1
2001,Restaurant,Pret A Manger,211 w adams st ,False,False,BATTERY,2139,606,2
2001,Restaurant,Sopraffina Marketcaffe,222 w adams st ,False,False,BATTERY,2139,606,2
2001,Restaurant,Sbarro,211 w adams st ,False,False,BATTERY,2139,606,2
2001,Restaurant,Spa Cafe,112 w monroe st ,False,False,BATTERY,2136,624,1
2001,Restaurant,I Dream of Falafel,112 w monroe st ,False,False,BATTERY,2136,624,1
2001,Restaurant,Cosi,230 w monroe st ,False,False,BATTERY,2133,613,3
2001,Restaurant,Bon Appetit,227 w monroe st ,False,True,BATTERY,2133,613,3
2001,Restaurant,Jersey Mike's Subs,200 w monroe st ,False,False,BATTERY,2133,613,3
2001,Restaurant,Au Bon Pain,125 s wacker dr ,False,False,BATTERY,2113,628,2
2001,Restaurant,Townhouse Restaurant & Wine Bar,111 s wacker dr ,False,False,BATTERY,2113,628,2
2001,Restaurant,South Branch,100 s wacker dr ,False,False,BATTERY,2113,628,2
2001,Restaurant,Boston Blackies,120 s riverside plz ,False,False,BATTERY,2062,584,1
2001,Restaurant,Au Bon Pain Company,181 w madison st ,False,False,BATTERY,2043,599,6
2001,Restaurant,Bacci Pizzeria,105 w madison st ,False,False,BATTERY,2043,599,6
2001,Restaurant,Davino's Little Pompei,181 w madison st ,False,False,BATTERY,2043,599,6
2001,Restaurant,Mezza,181 w madison st ,False,False,BATTERY,2043,599,6
2001,Restaurant,Mac Kelly's Greens & Things,123 w madison st ,False,False,BATTERY,2043,599,6
2001,Restaurant,Roma Pizza,105 w madison st ,False,False,BATTERY,2043,599,6
2001,Restaurant,Marquette Inn No 4 Restaurant,135 w madison st ,False,False,BATTERY,2043,599,6
2001,Restaurant,Banh Mi Express Sandwiches,105 w madison st ,False,False,BATTERY,2043,599,6
2001,Restaurant,Sixty Five Chinese Restaurant,201 w madison st ,False,False,NARCOTICS,2028,3824,1
2001,Restaurant,Dunkin' Donuts,201 w madison st ,False,False,NARCOTICS,2028,3824,1
2001,Restaurant,Au Bon Pain Company,181 w madison st ,False,False,NARCOTICS,2026,3814,1
2001,Restaurant,Bacci Pizzeria,105 w madison st ,False,False,NARCOTICS,2026,3814,1
2001,Restaurant,Davino's Little Pompei,181 w madison st ,False,False,NARCOTICS,2026,3814,1
2001,Restaurant,Mezza,181 w madison st ,False,False,NARCOTICS,2026,3814,1
2001,Restaurant,Mac Kelly's Greens & Things,123 w madison st ,False,False,NARCOTICS,2026,3814,1
2001,Restaurant,Roma Pizza,105 w madison st ,False,False,NARCOTICS,2026,3814,1
2001,Restaurant,Marquette Inn No 4 Restaurant,135 w madison st ,False,False,NARCOTICS,2026,3814,1
2001,Restaurant,Banh Mi Express Sandwiches,105 w madison st ,False,False,NARCOTICS,2026,3814,1
2001,Restaurant,Sixty Five Chinese Restaurant,201 w madison st ,False,False,BATTERY,2000,589,1
2001,Restaurant,Dunkin' Donuts,201 w madison st ,False,False,BATTERY,2000,589,1
2001,Restaurant,Pizzahut Express,225 s canal st ,False,False,BATTERY,1991,576,2
2001,Restaurant,Burrito Beach,210 s canal st ,False,False,BATTERY,1991,576,2
2001,Restaurant,Robinson's No 1 Ribs,225 s canal st ,False,False,BATTERY,1991,576,2
2001,Restaurant,Nino Paninos,225 s canal st ,False,False,BATTERY,1991,576,2
2001,Restaurant,Metro Deli & Cafe,210 s canal st ,True,False,BATTERY,1991,576,2
2001,Restaurant,Potbelly Sandwich Works,303 w madison st ,False,False,BATTERY,1986,583,1
2001,Restaurant,Petterino's,150 n dearborn st ,False,False,BATTERY,1969,620,9
2001,Restaurant,Delmonico,111 w washington st ,False,False,BATTERY,1937,606,4
2001,Restaurant,BomBon 4,170 w washington st ,False,False,BATTERY,1937,606,4
2001,Restaurant,Ruby of Siam,170 w washington st ,False,False,BATTERY,1937,606,4
2001,Restaurant,Uncle Abe's Deli,122 s franklin st ,False,False,NARCOTICS,1937,3559,1
2001,Restaurant,Cardozo's Pub,170 w washington st ,True,False,BATTERY,1937,606,4
2001,Restaurant,Quizno's,128 s franklin st ,False,False,NARCOTICS,1937,3559,1
2001,Restaurant,The Metropolitan Club,233 s wacker dr ,False,False,BATTERY,1917,562,1
2001,Restaurant,Venice Cafe,233 s wacker dr ,False,False,BATTERY,1917,562,1
2001,Restaurant,Currents on the River,200 s wacker dr ,False,False,BATTERY,1917,562,1
2001,Restaurant,Pizzahut Express,225 s canal st ,False,False,NARCOTICS,1913,3759,1
2001,Restaurant,Burrito Beach,210 s canal st ,False,False,NARCOTICS,1913,3759,1
2001,Restaurant,Robinson's No 1 Ribs,225 s canal st ,False,False,NARCOTICS,1913,3759,1
2001,Restaurant,Nino Paninos,225 s canal st ,False,False,NARCOTICS,1913,3759,1
2001,Restaurant,Metro Deli & Cafe,210 s canal st ,True,False,NARCOTICS,1913,3759,1
2001,Restaurant,Petterino's,150 n dearborn st ,False,False,NARCOTICS,1910,3550,1
2001,Restaurant,Protein Bar,221 w washington st ,False,False,BATTERY,1908,596,2
