year,Census Block,Age Group,Crime Type,#Crimes
2015,101002,5-17,ASSAULT,24
2016,101002,5-17,ASSAULT,14
2018,101002,5-17,ASSAULT,1
2015,101002,5-17,BATTERY,75
2016,101002,5-17,BATTERY,39
2018,101002,5-17,BATTERY,1
2015,101002,5-17,BURGLARY,17
2016,101002,5-17,BURGLARY,5
2018,101002,5-17,BURGLARY,1
2015,101002,5-17,CRIM SEXUAL ASSAULT,2
2015,101002,5-17,CRIMINAL DAMAGE,31
2016,101002,5-17,CRIMINAL DAMAGE,13
2015,101002,5-17,CRIMINAL TRESPASS,14
2016,101002,5-17,CRIMINAL TRESPASS,6
2015,101002,5-17,DECEPTIVE PRACTICE,15
2016,101002,5-17,DECEPTIVE PRACTICE,9
2015,101002,5-17,INTERFERENCE WITH PUBLIC OFFICER,2
2016,101002,5-17,INTERFERENCE WITH PUBLIC OFFICER,1
2015,101002,5-17,MOTOR VEHICLE THEFT,9
2016,101002,5-17,MOTOR VEHICLE THEFT,2
2015,101002,5-17,NARCOTICS,38
2016,101002,5-17,NARCOTICS,8
2015,101002,5-17,OFFENSE INVOLVING CHILDREN,3
2016,101002,5-17,OFFENSE INVOLVING CHILDREN,3
2015,101002,5-17,OTHER OFFENSE,25
2016,101002,5-17,OTHER OFFENSE,13
2018,101002,5-17,OTHER OFFENSE,1
2015,101002,5-17,PUBLIC PEACE VIOLATION,3
2016,101002,5-17,PUBLIC PEACE VIOLATION,2
2015,101002,5-17,ROBBERY,5
2016,101002,5-17,ROBBERY,1
2018,101002,5-17,ROBBERY,2
2015,101002,5-17,SEX OFFENSE,1
2016,101002,5-17,SEX OFFENSE,2
2015,101002,5-17,STALKING,2
2015,101002,5-17,THEFT,43
2016,101002,5-17,THEFT,20
2015,101002,5-17,WEAPONS VIOLATION,4
2016,101002,5-17,WEAPONS VIOLATION,4
2015,102011,25-44,BATTERY,1
2016,102011,25-44,BATTERY,1
2015,102011,25-44,BURGLARY,1
2016,102011,25-44,DECEPTIVE PRACTICE,4
2015,102011,25-44,OTHER OFFENSE,1
2015,102011,25-44,THEFT,3
2015,102012,25-44,ASSAULT,14
2016,102012,25-44,ASSAULT,7
2015,102012,25-44,BATTERY,43
2016,102012,25-44,BATTERY,22
2015,102012,25-44,BURGLARY,3
2016,102012,25-44,BURGLARY,3
2015,102012,25-44,CRIM SEXUAL ASSAULT,2
2015,102012,25-44,CRIMINAL DAMAGE,25
