Restaurant Name,Address,Average Yelp Review,#Pass,#Conditional,#Failed Inspection
Walgreens,"191 N Clark St (between Couch Pl & Lake St) Chicago, IL 60601 Neighborhood: The Loop",4.0,3,1,0
Banh Mi Express Sandwiches,"105 W Madison St Ste 109B (between Clark St & La Salle St) Chicago, IL 60603 Neighborhood: The Loop",3.0,2,0,2
South Loop Club,"701 S State St (between Balbo Ave & Polk St) Chicago, IL 60605 Neighborhood: South Loop",3.0,11,1,0
Baba's Village,"310A S Canal St (at Fulton St) Chicago, IL 60606 Neighborhood: Near West Side",3.0,8,1,1
Warehouse Liquors,"634 S Wabash Ave (between Balbo Ave & Harrison St) Chicago, IL 60605 Neighborhood: South Loop",5.0,1,0,0
Macy's,"111 N State St (between Washington St & Court Pl) Chicago, IL 60602 Neighborhood: The Loop",3.0,64,4,10
Au Bon Pain,"125 S Wacker Dr (between Adams St & Clark St) Chicago, IL 60606 Neighborhood: The Loop",3.0,13,1,4
Fannie May Candies,"144 S. Dearborn St. Chicago, IL 60603 Neighborhood: The Loop",4.0,2,1,0
Walgreens,"30 N Michigan Ave Chicago, IL 60602 Neighborhood: The Loop",2.0,3,0,0
Tesori,"65 E Adams St (between Wabash Ave & Dearborn St) Chicago, IL 60603 Neighborhood: The Loop",4.0,9,3,2
Sarah's Pastries and Candies,"111 N. State St Macy's Street Level (between Court Pl & Washington St) Chicago, IL 60602",3.0,1,0,0
Harold Washington College,"30 E Lake St (between Dearborn St & State St) Chicago, IL 60601 Neighborhood: The Loop",3.0,1,2,0
Hackney's Printers' Row,"733 S Dearborn St (between Harrison St & Polk St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",4.0,10,1,1
Au Bon Pain,"181 W Madison St Lobby 3 (between La Salle St & Wells St) Chicago, IL 60602",3.0,10,0,1
Giordano's Pizzeria,"130 E Randolph St (between Beaubien Ct & Stetson Ave) Chicago, IL 60601 Neighborhood: The Loop",3.0,1,3,0
Au Bon Pain Company,"181 W Madison St Lbby 3 (between La Salle St & Wells St) Chicago, IL 60602",3.0,10,0,1
Argo Tea,"16 W Randolph St (between State St & Wabash Ave) Chicago, IL 60601 Neighborhood: The Loop",4.0,11,2,2
Starbucks,"17 E Monroe St (between State St & Wabash Ave) Chicago, IL 60603 Neighborhood: The Loop",4.0,7,0,0
Falafill,"72 E Adams St Chicago, IL 60604 Neighborhood: The Loop",5.0,1,2,1
Palmer House- Hilton Hotel,"17 E Monroe St (between Wabash Ave & State St) Chicago, IL 60603 Neighborhood: The Loop",4.0,12,0,2
Nicola's Pizzeria,"400 S Financial Pl (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",4.0,1,0,0
Flo & Santos,"1310 S Wabash Ave (between 13th St & 14th St) Chicago, IL 60605 Neighborhood: Near Southside",4.0,13,2,8
Hannah's Bretzel,"131 S Dearborn St Chicago, IL 60603 Neighborhood: The Loop",4.0,10,2,0
Walgreens,"300 N Michigan Ave (between Wacker Pl & Macchesneyer Dr) Chicago, IL 60601 Neighborhood: The Loop",3.0,4,0,1
Haifa Cafe,"19 N Wells St Chicago, IL 60606 Neighborhood: The Loop",3.0,7,2,5
Wow Bao,"225 N Michigan Ave (between Lake St & Wacker Pl) Chicago, IL 60601 Neighborhood: The Loop",4.0,9,1,0
7-Eleven,"48 N Wells St Chicago, IL 60606 Neighborhood: The Loop",3.0,8,4,3
Taco Fresco,"23 E Adams St (between State St & Dearborn St) Chicago, IL 60603 Neighborhood: The Loop",2.0,6,1,1
Starbucks,"200 N Michigan Ave (between Lake St & Wacker Pl) Chicago, IL 60601 Neighborhood: The Loop",3.0,12,0,0
