restaurantID,name,reviewID,Review Sentiment,rating_y
___C3oF79FmCvIW_WojtMA,"James D Rohan, DDS & Kevin D Dow, DDS",gF-JXcdCRPEdn1mt90OnzQ,positive,5
___C3oF79FmCvIW_WojtMA,"James D Rohan, DDS & Kevin D Dow, DDS",lG2cQ0mQUUvVhyzVvuXA7g,positive,5
___C3oF79FmCvIW_WojtMA,"James D Rohan, DDS & Kevin D Dow, DDS",lMRNIxNnqWdXQJYMnGAsZw,negative,5
___C3oF79FmCvIW_WojtMA,"James D Rohan, DDS & Kevin D Dow, DDS",P8qtewS9AZJQQztydIz3fA,positive,5
___C3oF79FmCvIW_WojtMA,"James D Rohan, DDS & Kevin D Dow, DDS",q2gWqcpfT0Zy2iPbO9hbbw,positive,5
___C3oF79FmCvIW_WojtMA,"James D Rohan, DDS & Kevin D Dow, DDS",RKV0Y0rrEdnXTU11V1poyQ,positive,5
___C3oF79FmCvIW_WojtMA,"James D Rohan, DDS & Kevin D Dow, DDS",sxQk2ekHjgOEjfJ2X-qifA,positive,4
___C3oF79FmCvIW_WojtMA,"James D Rohan, DDS & Kevin D Dow, DDS",UXRfTXaYsZndTwghCq8h0A,positive,5
_0exhqM9n6APbMlPsJbO9w,Fifth Third Bank,S9UU-Wwr2MZfOBIUcGQzzg,positive,5
_0exhqM9n6APbMlPsJbO9w,Fifth Third Bank,ygo7IHre_ZFVCU7jyAdehg,positive,5
_2gK5Orf21juv3tvPKv55g,WVAZ-FM Chicago V103 102.7 FM,4fcnUQPeTXs_2LJ9Fp7SoA,positive,5
_2gK5Orf21juv3tvPKv55g,WVAZ-FM Chicago V103 102.7 FM,eknWjIvM2wG94AmvGQfs1g,negative,2
_2gK5Orf21juv3tvPKv55g,WVAZ-FM Chicago V103 102.7 FM,rvuJXWoTmn91QkuazAwmCQ,negative,2
_2gK5Orf21juv3tvPKv55g,WVAZ-FM Chicago V103 102.7 FM,VzUKTl1G140GnLionYGETw,negative,3
_4I4QUtHIibPAVeDercffQ,Venue Cricket,NQJo87Sw0WgmiD00pZCDNQ,negative,5
_6KLiszTrD8SSQ0WgA2gAw,Sallie Mae,fhSNLpBFZaKkVQnU639NLQ,positive,1
_6UiHRnfybGJ5s2FwvlEiQ,Rocs Cards & Gifts,1OpWajvBmNJT-HX1Th930Q,positive,5
_6UiHRnfybGJ5s2FwvlEiQ,Rocs Cards & Gifts,E5eiuK1AZ9ZTptH4wqLlHw,positive,4
_7FYY2YNNRHHYqPrpPDq9w,Pazzo's Cucina Italiana,-JRl9adTih01fj7EpGQwWQ,positive,3
_7FYY2YNNRHHYqPrpPDq9w,Pazzo's Cucina Italiana,DAAIcKfy4r3_N23ZZje90w,positive,3
_7FYY2YNNRHHYqPrpPDq9w,Pazzo's Cucina Italiana,kgzuHs5In1b9nx6rUyQcPQ,positive,5
_7FYY2YNNRHHYqPrpPDq9w,Pazzo's Cucina Italiana,TmMPbUSSU_JuZfGw7qx0Mw,negative,3
_97YYWsCVOI3DhqT_Npk_g,Harris,UWYdKD0Q-xA-LdQR-P1GDQ,positive,5
_auUTic1us1jCQpfXHN7Gw,Terry Brady Ceremonies,xRt2vG4j25imExU8gpu2tQ,positive,5
