restaurantID,rating_y,average sentiments
-0oBrlx668ghShZLzOOwpw,5.0,positive
-0xNhQ5cv1q8SbCwBu0h6A,1.0,negative
-13rqFgAMkp8c0YRW5gv-Q,4.0,negative
-1n0DOZ7jz9RozcIO1Bx5g,5.0,positive
-3Bz4dwz3_hytmUYhTfwMg,4.4,positive
-5-QOUmCbGgwTZ1qGodCgg,1.0,negative
-6xaK5elUFw6YBwtcLdKqw,5.0,positive
-9jxsN4TDpsARuHCiEuolw,3.0,positive
-Aev5O4GkAG1zVKc4dRBTg,4.0,negative
-BKSuORz6rwIcTSGAV_GwA,3.6666666666666665,positive
-CclMIdTyOnA2vWrubC2Iw,2.773109243697479,positive
-CehJGwsRwnYZ7e3vvX_Xg,3.2222222222222223,negative
-DcI9z3WSJx09mzCuJPf_A,5.0,positive
-GpWeQogXbJNFx_xE6arCA,3.4444444444444446,negative
-OfTDHHtqCRGZiXZjBgSjg,4.0,positive
-OoRBi390Kiv6vDMKDOfNA,2.6666666666666665,negative
-R32EndpQtBGZxsfbPItiw,2.5,negative
-SSQ1tKlC0xJTDA4hS1wMg,4.0,positive
-SoALCgFIICnppHvmhr6Kg,2.333333333333333,negative
-T3VU1ArNHupeRuO766U9Q,4.333333333333333,positive
-TcRFgNoikGd36DlgokVdA,4.583333333333333,positive
-Vc6DgUUXKcVVVTQ4YZmJQ,3.111111111111111,positive
-WL5bFWWhbwWCVI4GYBkhQ,4.30188679245283,positive
-aIXGAuLnicdsmOutY9ebQ,3.0789473684210527,positive
-bfF_-h5p4jRC937npYdvg,3.9166666666666665,positive
-eXYVd25zif2AOVfzs4azg,5.0,negative
-gRWlMxEYhUJmRHQiG3WBg,4.428571428571429,positive
-guHhnAYoW7chTG4Vc5g4Q,4.333333333333333,positive
-iC6IMSJaNL8BcWHxvf9Sg,3.7777777777777777,positive
-iXqnFg4a_IlGq4gqFXrSw,3.5,negative
-jBvJsJZxs-dEDKZsDXIug,5.0,positive
-kOOJJZNsTy6upgze1jRfA,3.727272727272727,positive
-kwXSPyiUMsP6FCzUEYJmA,1.75,negative
-l1vG_Oa1LzUouVUE3JhHQ,2.8571428571428568,positive
-n8cYKty5pRIm6ggf59sxw,2.6666666666666665,positive
-oFLf8XkaaTy_QYYIgJ6kg,5.0,positive
-pXN0db3PcFGxmFIhUAgEQ,5.0,positive
-rM3lJQNK0xB3jctDyhfVQ,5.0,negative
-ujJAzrSec4d1bl5W1ehBg,4.0,positive
-upcPPR1UkCzN8ffCJa_VQ,1.0,negative
-x256BGaUq3lUL2_oF2x_g,1.7142857142857142,negative
0-j1UL2JhVfPc-flsK3aVA,4.666666666666667,negative
01yNa41hLfHjKJl2mQ1vxA,3.6666666666666665,negative
03Rr6CHAjtJuoG_im3xg8w,3.0,positive
05lOAHlV7gmOnu-TVdiQmQ,1.0,negative
07bYoHMPJidJffPau1Af1Q,2.6,negative
091Y2qP4mAZpHfrdwqQyZQ,5.0,positive
09f1dbS5-6Nw-1eckNyn1Q,5.0,negative
0E26D7x4PPE-J1BoT18uEQ,1.0,negative
0EDi2DB63YXgmwaPeOsYEw,4.0,positive
0Go04SmDIjLgxDP5tM1gNQ,2.952380952380953,negative
0IWIwWQKCSugciSuXAX2Xw,2.0,negative
0MvTwFDsxRxtJIySaZtGSQ,4.9230769230769225,positive
