Tract Number,No of restaurants with liquor sold,No of total Crimes,No of total arrests
101002012,1,161,31
102012017,1,343,99
102012040,1,2,1
202003005,5,572,178
203013026,9,371,46
204001004,3,167,32
204002005,3,193,29
207021009,5,145,46
208012000,10,256,63
208024001,37,320,71
208024008,6,275,44
317001000,2,33,4
407001009,4,184,42
508001020,35,194,50
511001001,2,69,3
603002007,59,525,155
604001006,1,155,15
624001007,11,231,22
812012010,10,292,75
816001011,19,323,75
901001014,4,252,48
901002009,1,75,11
901002022,4,421,67
901004029,4,105,13
902001017,8,463,83
902003015,2,46,15
902003021,4,458,97
902004035,3,78,16
1001005015,7,417,78
1002003003,30,723,107
1002003011,5,84,11
1002005011,31,689,116
1002005012,4,270,68
1003001004,1,43,2
1003001022,12,469,65
1003001025,8,618,83
1003006004,4,28,4
1005004027,3,49,6
1005005006,1,49,3
1005005016,18,598,92
1005005027,2,60,24
1005005034,4,268,33
1006001017,3,9,2
1006003031,20,881,198
1006003038,5,473,163
1006004026,11,564,78
1006004053,17,65,12
1007004021,5,1010,188
1102002008,1,108,30
1103004005,7,549,119
1104001033,5,531,80
1201002007,9,247,42
1201003007,1,87,16
1201003012,4,266,41
1201003036,6,92,28
1203003002,1,231,51
1301003021,1,52,8
1403021009,1,50,12
1404005035,51,1326,267
1405002005,8,444,75
1503005007,6,796,85
1503007016,26,1022,263
1504011016,1,32,2
1504021017,79,969,185
1504023031,3,174,21
1505013003,30,1194,292
1505013013,1,18,1
1505013018,50,1316,204
1505021012,2,74,8
1505023010,8,150,30
1506003010,1,70,10
1507001004,34,766,85
1508003007,3,111,11
1508004005,16,72,11
1510011000,2,213,68
1511002007,20,13,1
1601002001,3,59,6
1601002006,1,225,36
1602003001,7,406,47
1602004022,3,286,44
1602004027,3,250,42
1603001009,5,329,43
1603003003,2,13,1
1608003007,2,141,21
1610002006,18,197,38
1611002004,1,195,29
1703004000,17,154,30
1704001018,48,1261,173
1704004012,1,61,10
1705001010,13,96,12
1705002008,3,55,16
1705004003,3,158,19
1707003017,7,217,37
1708002000,8,237,57
1708002010,73,1346,206
1708003014,73,1771,312
1709001014,1,17,3
1710002013,87,1602,274
1710005002,1,20,5
1801001012,17,925,139
1801002002,2,79,9
1904012036,37,471,80
1904021029,73,1272,185
1904022007,1,93,15
1906011004,47,1646,302
1906013002,25,738,144
1906023017,1,91,6
1907023015,2,160,36
1911002014,20,963,151
1911003009,98,1458,272
1911005014,43,1329,205
1912001002,30,558,137
1912001019,30,1130,147
1913011003,4,195,62
1913011014,43,885,144
1913011037,6,347,80
1913022033,3,249,100
2004021012,1,10,3
2105021015,5,105,13
2207022020,54,372,62
2209012006,12,100,10
2212002002,4,76,10
2214001003,6,337,56
2222001026,1,27,1
2306001009,2,206,50
2306002002,14,1128,198
2306004004,4,481,59
2315001005,31,584,84
2315006007,121,2492,646
2420001006,35,136,15
2423002014,2,40,8
2428001000,40,422,114
2430002014,134,1859,272
2432002010,111,1056,160
2433002028,20,321,36
2434001022,3,72,7
2435002009,72,418,75
2435002031,73,383,74
2502001012,26,1075,129
2503001022,20,841,130
2504004013,102,3432,981
2505002019,27,836,177
2505003005,7,1180,197
2505004016,1,58,4
2505006010,1,152,42
2505007027,1,46,7
2507001012,16,2008,458
2507003005,131,2800,780
2511003007,12,1513,532
2513005008,147,3440,1031
2514003001,1,781,309
2514004027,1,95,53
2515004008,1,785,257
2516001002,9,215,89
2518005009,1,676,294
2519001000,19,479,128
2519001012,2,1049,315
2519001015,74,5356,2255
2519004007,2,72,16
2519004014,1,244,111
2520003012,1,2,1
2520003013,1,266,119
2521021004,1,560,268
2521021010,1,2887,1061
2521023002,1,726,276
2522025002,1,166,116
2522025004,3,668,281
2601001016,1,329,91
2606002008,24,2245,805
2705001021,2,589,242
2718001015,2,456,79
2801001033,45,997,165
2801002015,22,1968,680
2804001010,1,65,5
2804001031,5,133,23
2819003001,28,624,116
2827002007,2,167,22
2832001010,1,5,1
2909004019,2,1466,429
2925004000,18,1503,409
2925004016,2,1765,402
3005002016,8,956,201
3006001009,2,516,117
3007003002,15,513,120
3009002003,11,660,139
3018011000,2,856,188
3018012036,1,96,29
3302002010,8,140,41
3514001012,1,285,40
4305002003,1,386,70
4604002014,1,129,58
4701002001,2,46,18
4701002011,1,371,95
4701002017,1,396,76
4908005017,2,185,38
4914003025,1,41,6
5001003013,1,142,29
5102002006,1,11,6
5304002016,2,94,32
5401014001,1,99,16
5501002013,1,30,5
5502002015,2,45,4
5502002027,4,85,13
5601001013,1,62,16
5601001026,2,75,9
5602003004,1,293,62
5603001015,2,118,14
5603001016,13,25,13
5604001003,8,175,21
5607001001,7,1875,492
5607001018,3,142,27
5607001020,1,93,13
5608002002,2,324,45
5608002018,1,103,24
5608005004,2,90,15
5609005003,3,130,23
5610006001,1,141,34
5610006010,18,1923,531
5701001009,2,43,4
5703004021,3,197,53
5704001005,2,83,13
5704001007,1,11,1
5704002017,1,26,3
5705001020,15,1596,300
5705002011,2,188,42
5801001024,1,41,7
5802001024,1,50,10
5802002003,7,449,110
5803001028,1,97,30
5804001013,13,11,2
5804002017,22,735,192
5804003019,4,114,24
5804004003,4,98,27
5805011014,1,223,34
5805013003,2,591,100
5805013015,5,395,81
5805014001,1,460,103
5805023004,4,677,129
5806003014,2,344,86
5905001000,47,1115,245
6103002005,18,566,71
6104001001,2,511,67
6114002002,19,1397,365
6201001012,1,48,6
6201003009,2,451,121
6203001001,10,1549,357
6203001006,1,283,62
6203002016,1,364,99
6302001001,1,859,171
6303001010,1,263,54
6304001003,17,564,127
6403006029,1,160,34
6404001017,1,1283,343
6404001026,1,53,7
6404002019,2,1442,287
6404002031,4,562,92
6406001012,2,1014,200
6408001004,3,125,24
6501001003,9,889,305
6501002016,2,202,83
6502001006,1,1032,209
6503011001,12,1666,515
6503013026,1,1185,262
6505003012,1,16,3
6607001020,11,2134,575
6608001007,1,500,211
6608001012,1,579,164
6609001013,1,1267,337
6609003010,4,1721,500
6610001010,1,209,69
6610004003,4,1986,638
6611002004,16,1481,360
6611004003,2,56,22
6611004013,1,2512,601
6611005022,7,671,170
6702001018,5,1052,318
6806001000,5,654,168
6809003007,4,1408,257
6811002008,5,511,162
6903002010,2,1198,258
6904002019,6,723,247
6912002022,1,1296,265
7001001029,1,1850,411
7001001051,1,1073,305
7002002007,1,113,34
7003011011,1,1247,288
7003013017,1,110,15
7003021018,1,1045,288
7003022004,1,345,54
7004011012,1,2561,534
7101001023,11,3365,1209
7104001003,1,1748,417
7109001025,1,520,106
7109002032,2,288,113
7115001001,5,1772,488
7201001002,15,1023,179
7201002014,2,1254,276
7203001001,2,182,58
7204001013,2,219,38
7204002008,1,5,1
7205001008,2,327,77
7205001022,2,702,151
7302015014,2,696,172
7302023021,1,624,159
7303001018,13,45,8
7304002015,1,24,2
7305002023,1,392,86
7305004036,1,56,13
7401002016,1,126,13
7401004001,13,11,1
7401004029,1,282,53
7402002009,1,67,8
7402004007,3,781,182
7403001009,13,319,74
7403001019,2,26,7
7403003015,6,943,308
7403003020,3,91,17
7404003003,6,127,31
7503003008,1,30,4
7505001005,1,130,25
7505002015,2,796,228
7505004032,4,523,148
7506003004,2,716,190
7506003024,1,218,45
7506004036,2,10,2
7608011009,3,43,8
7608012005,27,79,13
7608021003,1,47,9
7608021036,4,33,6
8305001002,1,61,15
8305001032,3,172,39
8311001000,78,848,176
8311003021,7,200,32
8314002049,20,2615,981
8314002059,52,2700,931
8315001025,56,1460,240
8315002015,3,232,69
8316001005,2,107,46
8316002003,70,1315,191
8316002006,58,1388,265
8316004000,1,174,36
8316005019,1,35,5
8318005027,9,103,13
8330001064,4,152,31
8330002012,36,437,31
8330002030,29,219,14
8342004000,2,801,193
8349002003,7,642,220
8349002013,1,303,92
8352001006,15,70,23
8366001005,4,118,15
8366002007,41,1233,181
8368001004,4,153,42
